speaker_id,age,gender,ethnicity
part1_0001,24,F,MALAY
part1_0002,25,F,INDIAN
part1_0003,25,M,MALAY
part1_0004,23,F,CHINESE
part1_0005,41,F,CHINESE
part1_0006,31,M,CHINESE
part1_0007,36,M,CHINESE
part1_0008,25,M,CHINESE
part1_0009,24,M,CHINESE
part1_0010,20,M,CHINESE
part1_0011,20,F,CHINESE
part1_0012,23,M,CHINESE
part1_0013,38,M,MALAY
part1_0014,22,M,CHINESE
part1_0016,22,M,CHINESE
part1_0017,32,F,MALAY
part1_0018,42,M,CHINESE
part1_0019,40,M,CHINESE
part1_0020,37,F,CHINESE
part1_0021,24,F,CHINESE
part1_0022,57,M,CHINESE
part1_0023,59,F,CHINESE
part1_0024,20,M,CHINESE
part1_0025,59,F,CHINESE
part1_0026,57,F,CHINESE
part1_0027,56,F,CHINESE
part1_0028,44,M,CHINESE
part1_0029,22,F,CHINESE
part1_0030,50,M,CHINESE
part1_0031,43,F,CHINESE
part1_0032,47,F,CHINESE
part1_0033,23,F,CHINESE
part1_0034,18,M,CHINESE
part1_0035,24,M,CHINESE
part1_0036,34,M,CHINESE
part1_0037,22,F,INDIAN
part1_0038,21,F,CHINESE
part1_0039,25,M,CHINESE
part1_0040,35,F,CHINESE
part1_0041,26,F,CHINESE
part1_0042,50,M,CHINESE
part1_0043,41,M,CHINESE
part1_0044,58,M,CHINESE
part1_0045,24,F,MALAY
part1_0046,32,M,CHINESE
part1_0047,22,M,INDIAN
part1_0048,18,M,CHINESE
part1_0049,36,M,CHINESE
part1_0050,22,M,CHINESE
part1_0051,24,F,MALAY
part1_0052,49,M,CHINESE
part1_0053,22,F,CHINESE
part1_0054,20,F,CHINESE
part1_0055,56,F,CHINESE
part1_0056,23,M,CHINESE
part1_0057,27,F,CHINESE
part1_0058,19,F,CHINESE
part1_0059,23,M,CHINESE
part1_0060,60,F,CHINESE
part1_0061,25,M,MALAY
part1_0062,49,F,CHINESE
part1_0063,54,F,CHINESE
part1_0064,34,F,CHINESE
part1_0065,23,F,CHINESE
part1_0066,21,F,CHINESE
part1_0067,38,F,CHINESE
part1_0068,21,F,CHINESE
part1_0069,42,F,INDIAN
part1_0070,51,M,INDIAN
part1_0071,24,F,CHINESE
part1_0072,58,F,CHINESE
part1_0073,49,F,CHINESE
part1_0074,22,M,CHINESE
part1_0075,28,M,MALAY
part1_0076,46,F,CHINESE
part1_0077,48,F,CHINESE
part1_0078,23,M,MALAY
part1_0079,21,F,CHINESE
part1_0080,35,F,CHINESE
part1_0081,21,F,CHINESE
part1_0082,39,F,CHINESE
part1_0083,47,M,CHINESE
part1_0084,53,F,CHINESE
part1_0085,32,F,CHINESE
part1_0086,32,F,CHINESE
part1_0087,23,F,CHINESE
part1_0088,25,M,CHINESE
part1_0089,32,F,MALAY
part1_0090,51,F,CHINESE
part1_0091,22,F,CHINESE
part1_0092,34,F,CHINESE
part1_0093,20,M,MALAY
part1_0095,42,F,CHINESE
part1_0096,34,M,MALAY
part1_0097,44,F,CHINESE
part1_0098,35,M,CHINESE
part1_0099,26,M,CHINESE
part1_0100,22,F,CHINESE
part1_0101,51,F,CHINESE
part1_0102,59,F,CHINESE
part1_0104,22,M,CHINESE
part1_0105,21,F,CHINESE
part1_0106,57,F,CHINESE
part1_0107,33,M,CHINESE
part1_0108,37,F,CHINESE
part1_0109,24,F,CHINESE
part1_0110,22,F,INDIAN
part1_0111,22,M,CHINESE
part1_0112,22,F,CHINESE
part1_0113,26,F,CHINESE
part1_0114,39,F,CHINESE
part1_0115,24,F,CHINESE
part1_0116,21,M,MALAY
part1_0117,24,M,CHINESE
part1_0118,46,F,CHINESE
part1_0119,25,F,CHINESE
part1_0120,51,M,MALAY
part1_0121,57,F,CHINESE
part1_0122,47,F,CHINESE
part1_0123,28,F,CHINESE
part1_0124,60,F,CHINESE
part1_0125,26,M,CHINESE
part1_0126,22,M,CHINESE
part1_0127,24,M,CHINESE
part1_0128,30,M,CHINESE
part1_0129,29,M,CHINESE
part1_0130,21,F,CHINESE
part1_0131,37,M,CHINESE
part1_0132,49,F,CHINESE
part1_0133,21,M,CHINESE
part1_0134,32,F,CHINESE
part1_0135,31,F,CHINESE
part1_0136,24,F,CHINESE
part1_0137,43,F,MALAY
part1_0138,20,F,CHINESE
part1_0139,23,F,CHINESE
part1_0140,22,M,CHINESE
part1_0141,20,M,CHINESE
part1_0142,60,F,CHINESE
part1_0143,18,M,MALAY
part1_0144,27,F,CHINESE
part1_0145,26,M,CHINESE
part1_0146,34,M,CHINESE
part1_0147,34,M,CHINESE
part1_0149,20,F,CHINESE
part1_0151,31,F,CHINESE
part1_0152,20,F,CHINESE
part1_0153,22,M,MALAY
part1_0154,37,F,MALAY
part1_0155,41,M,MALAY
part1_0156,23,F,INDIAN
part1_0157,23,F,CHINESE
part1_0158,20,F,CHINESE
part1_0159,32,M,CHINESE
part1_0160,20,F,CHINESE
part1_0161,45,M,MALAY
part1_0162,19,F,CHINESE
part1_0163,32,M,INDIAN
part1_0164,49,M,MALAY
part1_0165,23,M,INDIAN
part1_0166,24,F,CHINESE
part1_0167,21,F,CHINESE
part1_0168,31,M,INDIAN
part1_0169,35,M,MALAY
part1_0170,18,F,CHINESE
part1_0171,30,F,CHINESE
part1_0172,42,F,CHINESE
part1_0173,19,M,CHINESE
part1_0174,25,F,CHINESE
part1_0175,34,M,CHINESE
part1_0176,42,M,CHINESE
part1_0177,18,F,CHINESE
part1_0178,18,F,CHINESE
part1_0179,30,M,CHINESE
