speaker_id,age,gender,ethnicity
0001,24,F,MALAY
0002,25,F,INDIAN
0003,25,M,MALAY
0004,23,F,CHINESE
0005,41,F,CHINESE
0006,31,M,CHINESE
0007,36,M,CHINESE
0008,25,M,CHINESE
0009,24,M,CHINESE
0010,20,M,CHINESE
0011,20,F,CHINESE
0012,23,M,CHINESE
0013,38,M,MALAY
0014,22,M,CHINESE
0016,22,M,CHINESE
0017,32,F,MALAY
0018,42,M,CHINESE
0019,40,M,CHINESE
0020,37,F,CHINESE
0021,24,F,CHINESE
0022,57,M,CHINESE
0023,59,F,CHINESE
0024,20,M,CHINESE
0025,59,F,CHINESE
0026,57,F,CHINESE
0027,56,F,CHINESE
0028,44,M,CHINESE
0029,22,F,CHINESE
0030,50,M,CHINESE
0031,43,F,CHINESE
0032,47,F,CHINESE
0033,23,F,CHINESE
0034,18,M,CHINESE
0035,24,M,CHINESE
0036,34,M,CHINESE
0037,22,F,INDIAN
0038,21,F,CHINESE
0039,25,M,CHINESE
0040,35,F,CHINESE
0041,26,F,CHINESE
0042,50,M,CHINESE
0043,41,M,CHINESE
0044,58,M,CHINESE
0045,24,F,MALAY
0046,32,M,CHINESE
0047,22,M,INDIAN
0048,18,M,CHINESE
0049,36,M,CHINESE
0050,22,M,CHINESE
0051,24,F,MALAY
0052,49,M,CHINESE
0053,22,F,CHINESE
0054,20,F,CHINESE
0055,56,F,CHINESE
0056,23,M,CHINESE
0057,27,F,CHINESE
0058,19,F,CHINESE
0059,23,M,CHINESE
0060,60,F,CHINESE
0061,25,M,MALAY
0062,49,F,CHINESE
0063,54,F,CHINESE
0064,34,F,CHINESE
0065,23,F,CHINESE
0066,21,F,CHINESE
0067,38,F,CHINESE
0068,21,F,CHINESE
0069,42,F,INDIAN
0070,51,M,INDIAN
0071,24,F,CHINESE
0072,58,F,CHINESE
0073,49,F,CHINESE
0074,22,M,CHINESE
0075,28,M,MALAY
0076,46,F,CHINESE
0077,48,F,CHINESE
0078,23,M,MALAY
0079,21,F,CHINESE
0080,35,F,CHINESE
0081,21,F,CHINESE
0082,39,F,CHINESE
0083,47,M,CHINESE
0084,53,F,CHINESE
0085,32,F,CHINESE
0086,32,F,CHINESE
0087,23,F,CHINESE
0088,25,M,CHINESE
0089,32,F,MALAY
0090,51,F,CHINESE
0091,22,F,CHINESE
0092,34,F,CHINESE
0093,20,M,MALAY
0095,42,F,CHINESE
0096,34,M,MALAY
0097,44,F,CHINESE
0098,35,M,CHINESE
0099,26,M,CHINESE
0100,22,F,CHINESE
0101,51,F,CHINESE
0102,59,F,CHINESE
0104,22,M,CHINESE
0105,21,F,CHINESE
0106,57,F,CHINESE
0107,33,M,CHINESE
0108,37,F,CHINESE
0109,24,F,CHINESE
0110,22,F,INDIAN
0111,22,M,CHINESE
0112,22,F,CHINESE
0113,26,F,CHINESE
0114,39,F,CHINESE
0115,24,F,CHINESE
0116,21,M,MALAY
0117,24,M,CHINESE
0118,46,F,CHINESE
0119,25,F,CHINESE
0120,51,M,MALAY
0121,57,F,CHINESE
0122,47,F,CHINESE
0123,28,F,CHINESE
0124,60,F,CHINESE
0125,26,M,CHINESE
0126,22,M,CHINESE
0127,24,M,CHINESE
0128,30,M,CHINESE
0129,29,M,CHINESE
0130,21,F,CHINESE
0131,37,M,CHINESE
0132,49,F,CHINESE
0133,21,M,CHINESE
0134,32,F,CHINESE
0135,31,F,CHINESE
0136,24,F,CHINESE
0137,43,F,MALAY
0138,20,F,CHINESE
0139,23,F,CHINESE
0140,22,M,CHINESE
0141,20,M,CHINESE
0142,60,F,CHINESE
0143,18,M,MALAY
0144,27,F,CHINESE
0145,26,M,CHINESE
0146,34,M,CHINESE
0147,34,M,CHINESE
0149,20,F,CHINESE
0151,31,F,CHINESE
0152,20,F,CHINESE
0153,22,M,MALAY
0154,37,F,MALAY
0155,41,M,MALAY
0156,23,F,INDIAN
0157,23,F,CHINESE
0158,20,F,CHINESE
0159,32,M,CHINESE
0160,20,F,CHINESE
0161,45,M,MALAY
0162,19,F,CHINESE
0163,32,M,INDIAN
0164,49,M,MALAY
0165,23,M,INDIAN
0166,24,F,CHINESE
0167,21,F,CHINESE
0168,31,M,INDIAN
0169,35,M,MALAY
0170,18,F,CHINESE
0171,30,F,CHINESE
0172,42,F,CHINESE
0173,19,M,CHINESE
0174,25,F,CHINESE
0175,34,M,CHINESE
0176,42,M,CHINESE
0177,18,F,CHINESE
0178,18,F,CHINESE
0179,30,M,CHINESE
0180,23,F,CHINESE
0181,19,M,CHINESE
0182,31,M,INDIAN
0183,36,M,CHINESE
0184,60,M,CHINESE
0185,31,M,INDIAN
0186,22,F,INDIAN
0187,60,F,CHINESE
0188,20,F,CHINESE
0189,34,F,MALAY
0190,36,M,MALAY
0191,20,M,MALAY
0192,22,M,MALAY
0193,51,F,CHINESE
0194,18,M,MALAY
0195,23,F,CHINESE
0196,53,F,CHINESE
0197,35,F,CHINESE
0198,60,M,CHINESE
0199,20,F,CHINESE
0200,39,F,CHINESE
0201,52,M,MALAY
0202,28,F,CHINESE
0203,30,M,INDIAN
0204,18,M,INDIAN
0205,23,M,CHINESE
0206,33,F,MALAY
0207,21,F,INDIAN
0208,21,F,CHINESE
0209,50,F,CHINESE
0210,19,F,MALAY
0211,48,M,CHINESE
0212,24,M,CHINESE
0213,23,F,CHINESE
0214,31,M,INDIAN
0215,49,F,INDIAN
0216,48,F,INDIAN
0217,59,M,INDIAN
0218,31,M,CHINESE
0219,60,M,CHINESE
0220,28,M,INDIAN
0221,30,F,MALAY
0222,24,M,CHINESE
0223,21,F,CHINESE
0224,50,M,MALAY
0225,27,F,MALAY
0226,24,M,INDIAN
0227,21,F,MALAY
0228,34,F,INDIAN
0230,18,M,CHINESE
0231,30,F,MALAY
0232,44,M,CHINESE
0233,22,F,CHINESE
0234,18,F,INDIAN
0235,40,F,MALAY
0236,30,F,MALAY
0237,34,F,INDIAN
0238,18,M,MALAY
0239,23,F,CHINESE
0240,37,F,MALAY
0241,22,F,CHINESE
0242,45,F,MALAY
0243,18,M,MALAY
0244,37,M,CHINESE
0245,30,M,INDIAN
0246,27,M,MALAY
0247,39,M,CHINESE
0248,23,F,CHINESE
0249,51,M,INDIAN
0250,32,M,INDIAN
0251,60,M,CHINESE
0252,19,F,CHINESE
0253,19,F,CHINESE
0254,21,F,CHINESE
0255,47,F,INDIAN
0256,28,F,CHINESE
0257,21,F,INDIAN
0258,19,F,CHINESE
0259,19,F,CHINESE
0260,21,F,CHINESE
0261,19,F,CHINESE
0262,21,F,CHINESE
0263,22,F,CHINESE
0264,20,F,CHINESE
0265,20,M,CHINESE
0266,20,F,CHINESE
0267,22,M,CHINESE
0268,19,M,CHINESE
0269,20,F,CHINESE
0270,20,F,CHINESE
0271,68,M,INDIAN
0272,19,F,CHINESE
0273,26,M,CHINESE
0274,23,F,CHINESE
0275,20,F,INDIAN
0277,31,M,INDIAN
0278,52,F,INDIAN
0279,61,F,INDIAN
0280,66,F,INDIAN
0281,57,M,CHINESE
0282,31,M,INDIAN
0283,63,M,INDIAN
0284,18,F,CHINESE
0285,30,M,CHINESE
0286,25,M,INDIAN
0287,31,M,MALAY
0288,31,M,MALAY
0289,52,M,CHINESE
0290,35,F,CHINESE
0291,25,M,MALAY
0292,30,M,MALAY
0293,46,M,CHINESE
0294,49,M,INDIAN
0295,26,M,CHINESE
0296,26,F,CHINESE
0297,35,F,INDIAN
0298,46,M,MALAY
0299,39,M,MALAY
0300,24,F,CHINESE
0301,21,M,INDIAN
0302,31,M,MALAY
0303,33,M,INDIAN
0305,22,F,MALAY
0306,24,M,CHINESE
0307,23,F,CHINESE
0308,46,F,CHINESE
0309,41,F,MALAY
0310,23,F,CHINESE
0311,26,M,CHINESE
0312,56,F,CHINESE
0313,31,F,CHINESE
0314,26,M,CHINESE
0315,18,F,CHINESE
0316,50,F,CHINESE
0317,39,F,CHINESE
0318,24,M,MALAY
0319,22,F,MALAY
0320,21,M,CHINESE
0321,59,M,CHINESE
0322,31,F,MALAY
0323,31,M,MALAY
0324,36,F,CHINESE
0325,20,F,CHINESE
0326,32,M,MALAY
0327,22,M,CHINESE
0328,43,F,CHINESE
0329,44,F,CHINESE
0330,43,M,CHINESE
0331,31,F,CHINESE
0332,22,F,INDIAN
0333,32,F,MALAY
0334,22,F,CHINESE
0335,22,F,MALAY
0336,22,F,CHINESE
0337,40,M,CHINESE
0338,42,F,CHINESE
0339,43,M,CHINESE
0340,22,M,CHINESE
0341,24,F,CHINESE
0342,23,M,CHINESE
0343,24,M,CHINESE
0344,19,F,CHINESE
0345,21,F,CHINESE
0346,44,M,CHINESE
0347,44,M,CHINESE
0348,20,F,CHINESE
0349,39,F,CHINESE
0352,35,M,CHINESE
0353,20,M,CHINESE
0354,24,F,CHINESE
0355,25,M,CHINESE
0356,30,M,CHINESE
0357,37,F,CHINESE
0358,22,M,MALAY
0359,54,M,MALAY
0360,21,F,MALAY
0361,41,M,CHINESE
0362,55,M,MALAY
0363,50,F,MALAY
0364,22,M,CHINESE
0365,22,M,MALAY
0366,33,M,CHINESE
0367,52,F,MALAY
0368,49,F,CHINESE
0369,46,F,MALAY
0370,24,M,MALAY
0371,25,M,CHINESE
0372,51,F,MALAY
0373,24,F,CHINESE
0374,44,F,CHINESE
0375,24,M,CHINESE
0376,34,M,CHINESE
0377,21,F,CHINESE
0378,21,F,CHINESE
0379,46,M,CHINESE
0380,21,F,INDIAN
0381,20,M,CHINESE
0382,55,M,CHINESE
0383,20,F,CHINESE
0384,21,F,CHINESE
0385,32,F,MALAY
0386,25,M,CHINESE
0387,39,M,CHINESE
0388,20,F,CHINESE
0389,20,F,CHINESE
0390,40,F,CHINESE
0391,22,M,CHINESE
0392,24,M,CHINESE
0393,32,M,INDIAN
0394,21,F,CHINESE
0395,41,F,CHINESE
0396,23,F,CHINESE
0397,46,F,INDIAN
0398,20,F,CHINESE
0399,59,F,CHINESE
0400,21,M,CHINESE
0401,26,F,CHINESE
0402,23,F,CHINESE
0403,23,F,CHINESE
0404,19,F,CHINESE
0405,25,F,CHINESE
0406,44,F,INDIAN
0407,52,M,CHINESE
0408,27,M,CHINESE
0409,56,M,INDIAN
0410,19,M,CHINESE
0411,22,M,CHINESE
0412,22,M,CHINESE
0413,37,M,CHINESE
0414,23,F,CHINESE
0415,21,F,CHINESE
0416,18,F,MALAY
0417,32,M,MALAY
0418,48,F,MALAY
0419,22,F,INDIAN
0420,23,M,CHINESE
0421,21,F,CHINESE
0422,21,F,CHINESE
0423,53,F,CHINESE
0424,41,F,CHINESE
0425,24,M,CHINESE
0426,31,F,CHINESE
0427,50,F,CHINESE
0428,24,M,CHINESE
0429,24,M,CHINESE
0430,56,F,CHINESE
0431,20,F,CHINESE
0432,46,F,INDIAN
0437,21,F,CHINESE
0438,22,F,CHINESE
0439,51,F,CHINESE
0440,24,M,INDIAN
0443,31,F,CHINESE
0444,44,F,MALAY
0445,23,F,MALAY
0446,22,F,INDIAN
0449,31,F,CHINESE
0450,50,F,CHINESE
