attribute,split,category,n_speakers
gender,test,F,33
gender,test,M,29
gender,train,F,162
gender,train,M,122
gender,val,F,38
gender,val,M,28
gender,all,F,233
gender,all,M,179
ethnicity,test,CHINESE,40
ethnicity,test,INDIAN,12
ethnicity,test,MALAY,10
ethnicity,train,CHINESE,169
ethnicity,train,INDIAN,53
ethnicity,train,MALAY,62
ethnicity,val,CHINESE,36
ethnicity,val,INDIAN,11
ethnicity,val,MALAY,19
ethnicity,all,CHINESE,245
ethnicity,all,INDIAN,76
ethnicity,all,MALAY,91
age_bin,test,1X,10
age_bin,test,2X,19
age_bin,test,3X,19
age_bin,test,4X,6
age_bin,test,5X,4
age_bin,test,6X,4
age_bin,train,1X,42
age_bin,train,2X,84
age_bin,train,3X,74
age_bin,train,4X,50
age_bin,train,5X,19
age_bin,train,6X,15
age_bin,val,1X,10
age_bin,val,2X,18
age_bin,val,3X,15
age_bin,val,4X,14
age_bin,val,5X,7
age_bin,val,6X,2
age_bin,all,1X,62
age_bin,all,2X,121
age_bin,all,3X,108
age_bin,all,4X,70
age_bin,all,5X,30
age_bin,all,6X,21
gender_ethnicity_age,test,F_CHINESE_1X,4
gender_ethnicity_age,test,F_CHINESE_2X,7
gender_ethnicity_age,test,F_CHINESE_3X,7
gender_ethnicity_age,test,F_CHINESE_4X,2
gender_ethnicity_age,test,F_CHINESE_5X,3
gender_ethnicity_age,test,F_CHINESE_6X,1
gender_ethnicity_age,test,F_INDIAN_1X,1
gender_ethnicity_age,test,F_INDIAN_3X,1
gender_ethnicity_age,test,F_INDIAN_4X,1
gender_ethnicity_age,test,F_INDIAN_6X,1
gender_ethnicity_age,test,F_MALAY_2X,1
gender_ethnicity_age,test,F_MALAY_3X,2
gender_ethnicity_age,test,F_MALAY_4X,2
gender_ethnicity_age,test,M_CHINESE_2X,7
gender_ethnicity_age,test,M_CHINESE_3X,7
gender_ethnicity_age,test,M_CHINESE_5X,1
gender_ethnicity_age,test,M_CHINESE_6X,1
gender_ethnicity_age,test,M_INDIAN_1X,3
gender_ethnicity_age,test,M_INDIAN_2X,2
gender_ethnicity_age,test,M_INDIAN_3X,1
gender_ethnicity_age,test,M_INDIAN_4X,1
gender_ethnicity_age,test,M_INDIAN_6X,1
gender_ethnicity_age,test,M_MALAY_1X,2
