speaker_id,speaker_key,part,age,gender,ethnicity,age_group,tsne_1,tsne_2
2003,,,2X,M,MALAY,2X,11.4922905,4.39138
2005,,,4X,F,CHINESE,4X,5.467087,-7.0237384
2006,,,4X,M,CHINESE,4X,11.188668,6.147348
2009,,,2X,M,CHINESE,2X,9.1053705,-1.4627345
2011,,,5X,F,CHINESE,5X,17.50818,0.44283652
2013,,,3X,M,MALAY,3X,11.33447,0.57086134
2015,,,3X,M,CHINESE,3X,5.348746,-6.66929
2016,,,6X,F,CHINESE,6X,12.8560915,-7.0801454
2017,,,5X,F,CHINESE,5X,5.0179358,9.453657
2018,,,2X,M,CHINESE,2X,10.739945,-0.51293576
2021,,,2X,F,CHINESE,2X,10.426196,7.628644
2022,,,2X,M,CHINESE,2X,11.701459,-0.1794586
2023,,,2X,M,CHINESE,2X,5.9788747,6.8918877
2024,,,2X,F,INDIAN,2X,10.71873,12.872923
2030,,,2X,F,CHINESE,2X,-4.555293,-0.99077636
2033,,,3X,M,CHINESE,3X,-4.220777,19.889473
2035,,,1X,M,CHINESE,1X,-3.1581175,18.781998
2036,,,1X,F,CHINESE,1X,3.007186,-11.4843025
2038,,,2X,M,MALAY,2X,2.5297632,7.5976515
2040,,,2X,F,CHINESE,2X,3.954128,-17.639902
2041,,,3X,F,CHINESE,3X,8.453926,-6.5120907
2043,,,2X,F,CHINESE,2X,-7.6491795,18.466106
2044,,,4X,M,MALAY,4X,-1.9590766,19.64365
2047,,,6X,M,CHINESE,6X,-3.351404,19.625076
2048,,,6X,M,CHINESE,6X,-2.6863294,19.853704
2049,,,2X,F,CHINESE,2X,-6.248152,16.83422
2050,,,2X,M,INDIAN,2X,4.060683,10.47055
2052,,,2X,F,CHINESE,2X,2.5502641,12.483133
2055,,,3X,M,INDIAN,3X,7.180231,2.7400324
2056,,,2X,F,INDIAN,2X,-11.724144,-7.9219055
2061,,,3X,M,CHINESE,3X,9.925875,-1.4801625
2062,,,4X,M,CHINESE,4X,3.3730643,12.778476
2064,,,3X,M,CHINESE,3X,11.604294,-0.7359199
2066,,,3X,M,CHINESE,3X,9.8226595,-3.049095
2067,,,3X,F,CHINESE,3X,12.307281,-8.012252
2069,,,2X,F,CHINESE,2X,2.998136,11.62365
2071,,,3X,F,CHINESE,3X,11.6172285,-4.3098154
2075,,,1X,M,INDIAN,1X,3.399875,8.329929
2076,,,5X,F,CHINESE,5X,-10.743429,18.273134
2079,,,2X,F,CHINESE,2X,1.6829135,16.495924
2081,,,5X,F,CHINESE,5X,4.377973,-17.759369
2085,,,4X,F,CHINESE,4X,-9.612681,18.340403
2086,,,4X,F,MALAY,4X,5.914965,10.328681
2088,,,4X,F,MALAY,4X,0.23941235,17.539173
2091,,,2X,F,MALAY,2X,-8.729989,18.528194
2092,,,3X,F,CHINESE,3X,3.950226,-17.637995
2093,,,2X,F,INDIAN,2X,-7.0902295,17.516916
2095,,,2X,F,CHINESE,2X,10.249074,-11.018919
2097,,,2X,F,CHINESE,2X,-2.7404985,16.789583
2100,,,4X,F,CHINESE,4X,-6.8711185,17.134354
2101,,,2X,M,CHINESE,2X,8.278906,7.5878563
2102,,,6X,M,CHINESE,6X,6.9908237,7.6236176
2109,,,5X,M,MALAY,5X,6.637995,2.8840797
2111,,,2X,M,CHINESE,2X,10.344215,-0.22768743
